name,population,needs_permit,x,y,z,id,edsm_id,primary_economy
32 Mu Serpentis,5808756,0,-11.75,101.3125,135.5,155,16803,High Tech
32 c Piscium,19701386,0,-71.3125,-95.34375,-17.71875,151,16455,Industrial
33 Bootis,102001,0,-84.75,164.53125,18,156,14014,Extraction
33 G. Canis Majoris,2437430727,0,75.9375,-26.96875,-54.75,158,4328,Agriculture
33 Sextantis,5760033786,0,76.59375,88.78125,-25.90625,160,3003,Agriculture
34 Pegasi,4693435869,0,-85.375,-85.1875,30.65625,163,4453,Agriculture
35 Ceti,299504,0,-56.625,-135.65625,-55.96875,164,2090,Terraforming
35 Draconis,18858329,0,-85.125,51.75,-28.375,165,7065,Industrial
35 Leonis,12097037,0,29.4375,83.78125,-49.5,166,7862,Industrial
36 Andromedae,3199229419,0,-79.15625,-77.90625,-54.9375,168,13552,Agriculture
36 Doradus,4012438867,0,73.78125,-43.3125,3.03125,169,1226,Agriculture
36 Ophiuchi,3050214,0,0.4375,2.09375,19.21875,170,5331,Refinery
36 Persei,4173456111,0,-58.25,-15.96875,-101.96875,171,9920,Agriculture
37 Geminorum,9207049116,0,10.25,12.3125,-53.90625,173,9338,Agriculture
37 Librae,13934488109,0,5.8125,54.375,76.875,174,13996,Agriculture
37 Lyncis,4938892,0,-14.65625,62.6875,-62.21875,175,7462,Industrial
37 Ursae Majoris,7760154,0,-24.84375,68.21875,-47.03125,177,19575,Industrial
37 Xi Bootis,681717061,0,-4.21875,19.09375,9.8125,178,16622,Agriculture
38 Lyncis,2372934103,0,10.96875,88.375,-87.46875,181,10234,Agriculture
38 Virginis,11397788,0,44.96875,91.53125,31.53125,182,19324,Industrial
39 Leonis,2632466320,0,21.96875,61.3125,-35.875,187,4081,Industrial
39 Serpentis,6723043084,0,-16.46875,39.875,36.59375,188,12007,Agriculture
39 Tauri,150000000,0,-7.3125,-20.28125,-50.90625,189,8642,Service
4 Camelopardalis,5591726,0,-81.15625,24.03125,-149.90625,193,3160,Extraction
4 Eridani,362930,0,41.5,-135.9375,-63.1875,195,10428,Military
40 Ceti,17032700,0,-27.96875,-87.59375,-32.3125,197,4235,Industrial
40 Draconis,30353085,0,-134.78125,80.6875,-53.9375,198,17398,Industrial
40 Leonis,3267737,0,24.5625,57.0625,-31.5625,199,19322,Refinery
40 Leonis Minoris,3682310,0,32.5625,130.84375,-61.625,200,16188,Industrial
41 Gamma Serpentis,652422,0,-12.125,26,22.875,201,12608,Refinery
41 Lambda Hydrae,10199905741,0,88.78125,64.09375,-25.90625,202,17323,Agriculture
41 Upsilon-4 Eridani,56595554,0,102.375,-126,-72.875,203,15247,Industrial
42 Aquilae,5772040560,0,-57.84375,-23.53125,84.25,205,1425,Agriculture
42 n Persei,1212538,0,-83.5625,-73.40625,-244.34375,22854,25933,Extraction
44 b Ophiuchi,13524639,0,-3,8.0625,82.6875,208,1483,Industrial
45 Tauri,1316179,0,12.4375,-62.34375,-102.53125,216,546,Industrial
45 Theta Ceti,1801349229,0,-21.59375,-106.3125,-34.46875,217,13778,Agriculture
45 c Bootis,18325851,0,-19.46875,54.625,26.5,214,13275,High Tech
45 d Ophiuchi,36837331,0,5,4.375,111.375,215,18277,Industrial
47 Arietis,56558,0,-32.03125,-58.4375,-85.25,220,9828,Refinery
47 Cassiopeiae,4841766726,0,-83.03125,28.5625,-63.1875,221,5028,Agriculture
47 Ceti,656232661,0,-14.125,-116.96875,-32.53125,222,14369,Agriculture
49 Arietis,3646038,0,-74.25,-96.53125,-170.96875,226,739,Industrial
49 Serpentis,5610960355,0,-26.96875,49.96875,51.875,231,17669,Agriculture
49 d Orionis,29053417,0,71.75,-47,-117.5,228,13756,Extraction
5 Andromedae,3011577,0,-105.71875,-19.5625,-31.4375,232,6026,Terraforming
5 G. Capricorni,21544115,0,-6.96875,-14.53125,24.1875,235,5600,Industrial
5 Puppis,63743149,0,71.625,11.5,-58.625,238,473,Industrial
50 Omega Tauri,10282492,0,-7.71875,-32.96875,-88.125,239,17734,Extraction
51 Aquilae,1443503156,0,-43.4375,-28.9375,74.4375,241,9078,Industrial
51 Arietis,163995,0,-23.84375,-30.78125,-54.9375,242,8564,High Tech
51 Eridani,4312368260,0,26.875,-48.09375,-78.625,243,11412,Agriculture
52 Psi Ursae Majoris,14740826,0,-15.75,129.65625,-61.84375,246,16356,Terraforming
53 Virginis,34834174,0,57.9375,79.59375,50.34375,250,6394,Industrial
53 chi Ceti,9175087093,0,-6.6875,-70.15625,-27.5,248,4242,Agriculture
54 Ceti,526569262,0,-50.0625,-103.03125,-75.28125,252,12835,Agriculture
54 G. Antlia,7863969274,0,70.375,24.46875,-1.09375,253,17170,Agriculture
54 Piscium,30975767,0,-23.46875,-23.8125,-13.5625,254,9690,Industrial
55 Virginis,5914861528,0,70.9375,85.5,61.6875,255,4067,Agriculture
57 Zeta Serpentis,2773493535,0,-30.9375,12,69.28125,260,15040,Agriculture
58 Epsilon Herculis,10366233,0,-100.3125,90.5625,75.90625,262,952,Industrial
58 Eridani,48158154,0,20.78125,-24.40625,-29.15625,263,14561,Industrial
58 Geminorum,30261380,0,35.75,50.125,-146.5625,264,10332,Industrial
59 Eridani,495372812,0,64.71875,-75.78125,-92.65625,266,14996,Industrial
59 Virginis,8794261735,0,10.9375,54.09375,15.25,268,17897,Agriculture
6 A2 Virginis,30403,0,66.4375,158.03125,-4.03125,162646,183310,Terraforming
6 Andromedae,20271660,0,-84.03125,-24.1875,-22.09375,269,2745,Industrial
6 Ceti,16423998,0,-15.5625,-59.125,1.40625,270,10721,Industrial
60 Tauri,28281423,0,2.625,-58.375,-132.46875,277,12347,Industrial
60 b Leonis,11809912,0,37.53125,114.5,-39.28125,274,6608,Industrial
61 Cygni,8274043,0,-11.21875,-1.1875,1.40625,278,11158,Refinery
61 Ursae Majoris,96766469,0,0.5625,30.09375,-8.6875,281,9452,Industrial
61 Virginis,203981,0,14.8125,19.28125,13.65625,282,12861,Refinery
62 Ursae Majoris,2984779889,0,7.59375,129.46875,-34.53125,285,10297,Agriculture
63 Eridani,14186953,0,76.53125,-84.9375,-133.84375,287,11292,Terraforming
63 G. Capricorni,9285918498,0,-19.1875,-44.8125,52.53125,288,6852,Agriculture
63 Geminorum,6321767,0,31.9375,34.09375,-100.71875,289,6958,Industrial
63 Omicron-2 Cancri,18520403,0,66.46875,87.03125,-103.125,290,13443,Terraforming
63 chi Leonis,9125231641,0,45.90625,80.375,-19.1875,286,5014,Agriculture
64 Arietis,6373446,0,-57.09375,-90.65625,-178.34375,291,3944,Industrial
64 Ceti,5128504,0,-37.0625,-100.0625,-79.125,292,9951,Industrial
64 Piscium,263310,0,-44.84375,-54.71875,-29.125,294,5413,Refinery
65 Kappa Tauri,21816105,0,-12.90625,-47.3125,-145.9375,295,3450,Industrial
68 Eridani,14794351,0,32.09375,-34.125,-68.5625,300,940,High Tech
69 G. Carinae,10581461141,0,50.78125,-14.28125,3.15625,302,13272,Agriculture
69 Upsilon Tauri,5937817,0,-13.59375,-45.96875,-146.125,304,6855,Terraforming
7 Alpha Lacertae,26072574,0,-99.84375,-11.71875,-20.65625,305,16846,Industrial
7 Andromedae,13072786,0,-75.34375,-14.28125,-23.53125,306,5204,Industrial
7 Canum Venaticorum,393998,0,-46.125,132.9375,-38.90625,307,9950,Terraforming
7 Pi-1 Orionis,5250287713,0,18.40625,-39.125,-108,310,17642,Agriculture
7 Zeta-2 Lyrae,536934,0,-136.90625,45.65625,58,311,12708,Refinery
70 Ophiuchi,11203757,0,-8.21875,3.09375,14.0625,312,1956,Refinery
70 Virginis,2555551591,0,5.9375,56.25,15.46875,315,2892,Agriculture
72 Herculis,6478393,0,-32.875,24.6875,22.21875,319,19681,Agriculture
72 Ophiuchi,6997716293,0,-50.65625,20.375,67.53125,320,17111,Agriculture
73 Rho Cygni,2540061,0,-123.1875,-10,-2.46875,321,7470,Extraction
76 Sigma Ceti,4166110191,0,7.71875,-77.71875,-38.53125,325,3130,Agriculture
77 Aquarii,10224257,0,-49.28125,-117.90625,41.5,326,10444,Industrial
78 Ursae Majoris,10387930189,0,-35.03125,72.53125,-19.9375,327,6871,Agriculture
79 Ceti,13903295,0,-7,-104.34375,-72.21875,328,11285,Industrial
8 Alpha-1 Libra,14993989,0,19.46875,45.625,56.125,330,5567,Industrial
8 Gamma Coronae Borealis,15867053,0,-60.53125,114.1875,68.03125,331,12364,Industrial
8 Piscis Austrini,11934803,0,-50.875,-139.9375,119.03125,334,4396,Industrial
80 Leonis,7648203,0,91.6875,156.6875,-17.5,337,9192,Industrial
80 e Piscium,12655228859,0,-48.09375,-97.84375,-42.96875,336,15498,Agriculture
81 Leonis,2575496,0,45.9375,132.625,-28.46875,339,17328,Industrial
82 Eridani,3608745,0,10.40625,-16.3125,-3.75,340,694,Refinery
82 Pegasi,15759233,0,-116.8125,-138.53125,-23.75,341,1279,Industrial
83 Cancri,407128068,0,54.21875,86.8125,-84.28125,342,11652,Industrial
84 Ceti,5987953617,0,-5.5625,-58.15625,-44.9375,344,8296,Agriculture
85 Pegasi,3417203730,0,-30.75,-22.40625,-11.40625,345,10521,Agriculture
89 Leonis,2033259436,0,44.34375,76.75,-5.03125,351,9877,Agriculture
9 Aurigae,3455292694,0,-32.75,10.5,-78.5625,352,11371,Agriculture
9 Ceti,14603549,0,-18.9375,-65.3125,-3.28125,353,10240,High Tech
9 Puppis,202764,0,42.46875,6.59375,-32.40625,358,18168,Agriculture
97 i Tauri,4965261,0,4.875,-44.15625,-161.1875,364,15505,Industrial
AB Pictoris,5317314,0,133.875,-67.84375,-7.0625,366,11414,Industrial
AC +26 37030,2602253,0,-29.6875,65.21875,35.6875,403,7834,Industrial
ADS 10035,4917208671,0,19.84375,24.40625,103.21875,492,20059,Agriculture
AE Fornacis,112158,0,31.375,-87.71875,-42.96875,497,5090,Colony
AF Leporis,98316,0,45.90625,-35.1875,-66.59375,519,5551,Colony
ALS 16791,4418584,0,29.125,-52.03125,86.6875,775,13417,Refinery
AR Lacertae,20219374,0,-137.3125,-20.1875,-14.4375,1166,20018,Industrial
AY Indi,79011,0,26.9375,-33.59375,31.28125,1567,5065,Refinery
AZ Cancri,10219376,0,19.65625,26.84375,-38.09375,1582,8469,High Tech
Aakushu,16705301,0,73.9375,-80.84375,116.625,19854,11266,High Tech
Aapelinja,183131396,0,17.09375,139.84375,-7.0625,19855,2072,Agriculture
Aarti,6017469,0,163.15625,-64.53125,-10.6875,3616854,3535328,Extraction
Aasgaa,2677212,0,97.3125,44.15625,57.9375,19859,3627,Refinery
Aasgananu,12274011,0,-38.8125,-62.90625,-73.875,19857,15346,Industrial
Aasgay,11525915,0,81.28125,9.21875,27.40625,19858,15704,Industrial
Abasses,7734572,0,-34.1875,-102.375,81,369,7861,Industrial
Abi,11834159,0,-32.34375,-29.90625,10.625,376,8089,Industrial
Abormotwa,385133850,0,109.1875,77,-34.5,384,2750,Agriculture
Abres,12812247,0,-64.25,76.0625,-67.65625,387,2369,Industrial
Abrocmii,6046167090,0,-13.4375,-61.59375,-67.03125,391,10780,Agriculture
Abrog,11041961,0,-124.15625,-42.03125,7.28125,392,15167,Industrial
Abroin,2836373,0,-94.53125,110.09375,-40.5,394,5914,Industrial
Abuk,31703102,0,60.34375,-109.9375,132.53125,395,3632,Industrial
Abukunin,944586182,0,-69.3125,-7.4375,61.9375,396,15400,Agriculture
Aburokul,1895578,0,-117.40625,99.75,-54.40625,399,18443,Industrial
Ac Yama,2068350,0,127.78125,-32.1875,-51.28125,407,8415,Industrial
Ac Yariu,2301748,0,83.71875,-77.03125,7.75,411,3437,Industrial
Ac Yax Baru,79383990,0,103.71875,-0.65625,99.0625,413,14852,Terraforming
Acan,10776804,0,-13.21875,88.5625,24.96875,415,19095,Industrial
Acane,1789472,0,101.375,88.96875,76.6875,417,3995,Industrial
Acani,3369788,0,189.90625,-173.96875,9.96875,418,825,Terraforming
Acants,809189062,0,-98.96875,-48.1875,-90.21875,421,829,Industrial
Achali,1058367,0,50.34375,27.4375,112.28125,424,4532,Industrial
Achansa,4411810,0,53.1875,24.25,-107.71875,426,8267,High Tech
Achehoongat,9159296487,0,93.15625,-133,102.65625,430,8008,Agriculture
Achelous,9549330598,0,-76.9375,3.53125,19.96875,431,16094,Agriculture
Achenar,16380054761,1,67.5,-119.46875,24.84375,432,12523,Refinery
Achian,3380287,0,-154.8125,-3.28125,30.4375,433,8700,Industrial
Achrende,7072552,0,50.90625,-134.46875,-67.5,437,750,High Tech
Acihaut,86680,0,-18.5,25.28125,-4,440,32,Colony
Ackwada,90021259,0,42.78125,-65.3125,-11.34375,442,5464,Extraction
Acokwa,98607,0,-52.59375,-2.90625,-92.3125,444,18405,Refinery
Acurus,16097624,0,-142.46875,10.40625,102.65625,451,12170,Industrial
Adach,4261428,0,-117.71875,-85.125,82.4375,452,13569,Industrial
Adachit,8142485708,0,107.28125,-163.84375,44.3125,453,19089,Agriculture
Adad,2855439901,0,-25.5625,-56,10.15625,454,2108,Agriculture
Addovii,7406538,0,59.84375,104.34375,-81.09375,459,2425,Industrial
Addovik,10990856,0,136.5625,-60.875,5.4375,460,18608,Industrial
Addovika,4092587,0,65.6875,-181.15625,127.46875,461,11101,Terraforming
Adeka,7154622,0,18.78125,116.9375,76.46875,462,3402,Industrial
Adenets,3362140353,0,-40.125,65.96875,-35.5625,465,3707,Agriculture
Adenses,9765763,0,19.84375,64.75,-59.6875,466,9445,Industrial
Adensu,206389,0,-94.84375,-75.09375,-94.0625,467,8186,Terraforming
Adeo,8257499087,0,-81.625,31.40625,27.1875,468,3953,Agriculture
Adepti,27259006,0,-74.09375,36.5625,-40.1875,469,5431,Industrial
Adit,7927331,0,174.0625,-100.28125,126.0625,471,2718,Industrial
Aditi,15001260,0,72.875,-337.84375,-159.40625,21910,20171,Refinery
Aditjargl,3232376414,0,-0.53125,66.75,86.375,473,2081,Agriculture
Aditjari,8260691,0,85.90625,-103.125,155.21875,474,14230,Industrial
Adityan,2706089937,0,-80.875,-68.96875,23.03125,475,17292,Industrial
Adivarakhe,2427473,0,144.15625,-35.96875,-77,477,9691,Industrial
Adivas,3710512631,0,-51.34375,80,-67.46875,478,2266,Agriculture
Adju,1947456,0,-14.375,-24.25,144.25,480,866,Industrial
Adnoannoda,4691012,0,-31.75,-111.53125,-92.6875,485,3004,Industrial
Adnyayar,6938282,0,103.53125,65.0625,-117.3125,488,16913,Industrial
Adriatikuru,382314330,0,-104.1875,35.53125,42.15625,490,1233,Agriculture
Aduni,158913,0,122.1875,65.25,108.625,495,13131,Terraforming
Aegaeon,14161163,0,46.90625,23.625,-59.75,505,15698,Agriculture
Aegida,4124681,0,-14.09375,-203.34375,43,506,17370,Industrial
Aeneas,3004164,0,54.40625,35.90625,24.9375,511,14091,Industrial
Aeng Dimo,20761236,0,-45.78125,-12.09375,-21.59375,512,8073,Industrial
Aerial,265876,0,100.75,-102.625,8.40625,516,1055,Colony
Aeternitas,18561459277,0,-1.5,-14.65625,56.875,517,1592,Agriculture
Afli,90370555,0,35.3125,-78.03125,38.625,520,6012,High Tech
Aganippe,3338466,0,-11.5625,43.8125,11.625,523,7506,High Tech
Agarda,10978002,0,75.21875,40.3125,-30.09375,525,20110,Industrial
Agarla,37210917,0,63.28125,-115.375,83.5,526,2313,High Tech
Agartha,774096,0,70.71875,-123.65625,41.3125,527,1749,Military
Agastani,3388067247,0,22.375,-17.6875,-7.78125,531,4372,Agriculture
Agastariya,5042010,0,34.625,-104.84375,16.15625,532,16949,Industrial
Agastja,2581685,0,-73.84375,128.53125,-7.96875,534,19619,Industrial
Agathiar,14806545,0,-17.84375,59.40625,66.875,538,18082,Industrial
Aguana,5522993,0,82.875,135.09375,81.90625,543,17692,Industrial
Aguano,154835299,0,73.40625,-103,115.28125,545,12399,Terraforming
Agwa,3059532,0,6.9375,20.3125,-156.90625,550,14830,Industrial
Agwe,13704142,0,-48.5625,47.53125,-49.125,551,18056,Industrial
Aha Narfi,289253640,0,-80.5,-58.65625,96.125,552,3206,Agriculture
Ahaudhr,2016276,0,137.9375,-71.03125,-48.65625,559,8382,Industrial
Ahauduwonai,32001704,0,93.1875,-84.53125,-74.96875,560,8561,Industrial
Ahaurawai,87002,0,-106.96875,-20.15625,40.5625,561,17873,Refinery
Ahaut,5668760,0,51.21875,-246.125,-42.15625,562,732,Extraction
Ahauts,5545866,0,-90.65625,-142.9375,83.3125,563,6305,Industrial
Ahayan,1625391,0,6.3125,-44.4375,157.84375,564,12331,Industrial
Ahemakino,9214121,0,123.25,-3.21875,-97.4375,569,7431,Industrial
Ahemez,1551078,0,-103.34375,-84.6875,-75.875,570,2275,Extraction
Aholetondal,3985573,0,1.9375,-123.5625,93,574,8083,Industrial
Aholhyniai,15016303,0,53.90625,-128.3125,-56.5625,575,16296,Industrial
Aiaba,4030983,0,97.3125,51.625,103.125,578,15937,Industrial
Aiabiko,7569725676,0,-82.0625,1.625,-14.4375,581,10543,Agriculture
Aigones,2418576,0,-123.15625,29.59375,101.5,585,18165,Industrial
Ailuremowo,13584710,0,89.0625,14.8125,-141.15625,588,1630,Industrial
Ainuan,8447945,0,-142.5625,63.5,5.59375,593,3358,Industrial
Ainunnicori,18984514,0,-24.5,-52.625,-77.03125,595,9814,Industrial
Airman Di,20446690,0,-72.8125,-15.65625,-115.65625,597,6125,Industrial
Airseklis,227117,0,194.34375,-116.15625,7.3125,600,720,Terraforming
Airsetanoa,6553090,0,103.09375,-38.8125,32.1875,601,4054,Industrial
Aisoci,167207551,0,124.1875,-162.875,103.59375,602,18511,Terraforming
Aitvanec,11825198,0,42.15625,115.3125,10.9375,606,15585,Industrial
Aitvaredd,11685624,0,-55.46875,-102.71875,-62.78125,610,13999,Industrial
Ajabog,1808838,0,157.375,43.96875,-1.125,612,13382,Industrial
Ajabon,950270,0,-28.4375,6.46875,159.90625,613,19423,Industrial
Aje,4572091,0,-178.6875,-9.1875,-32.0625,615,3557,Industrial
Akanago,2694348,0,3.28125,-36.125,86.9375,620,16961,Industrial
Akarn,3173511,0,28.46875,37.625,80.28125,623,4076,Industrial
Akba Atacab,7538718,0,-119.46875,42.75,80.34375,625,5716,Refinery
Akbakara,5616293,0,-88.28125,53.71875,-71.5625,627,8942,Industrial
Aker,6276830,0,89.5,-103.0625,116.625,635,14870,Industrial
Akheilos,5234008,0,-36.15625,69.625,13.21875,639,5646,Refinery
Akhenaten,5018216,0,-53.375,7.84375,-40.375,640,3563,Industrial
Akhvathaang,1960885,0,37.46875,81.6875,-43.21875,642,13780,Industrial
Akkadia,1216083,0,-1.75,-33.90625,-32.96875,643,5110,Colony
Aknandan,222939352,0,-1.1875,76.3125,122.34375,644,14752,Terraforming
Aknango,1855599,0,-155.40625,30,-76.4375,645,18166,Extraction
Akonito,266972844,0,-86.625,1.21875,-79.46875,650,7280,Agriculture
Aktzin,24273841,0,-51.78125,23.9375,-29.40625,652,10340,High Tech
Akua,617120,0,18.9375,80.375,118.40625,654,17421,Colony
Akualanu,787019,0,63.78125,-128.5,3,655,10725,Tourism
Akuapem,212980,0,8.28125,-157.5,-76.46875,656,14969,Terraforming
Akuariks,2993637,0,126.53125,-63.5,-62.1875,657,3302,Industrial
Akuni,5913094,0,-78.34375,20.40625,-66.25,658,4012,Refinery
Akuntsu,6243649,0,155.3125,2.9375,4.875,660,7660,Industrial
Al Mina,1652655873,0,14.4375,43.78125,-13.25,661,12454,Agriculture
Al-Qaum,20842063,0,-8.03125,-13.96875,-69.6875,772,17507,Industrial
Alacarakmo,7789418,0,-32.40625,169.53125,-49.4375,663,16534,Industrial
Alano,12057259,0,84.21875,-49.5625,30.03125,670,6705,High Tech
Alaw,2993199,0,-30.6875,69.96875,100.15625,672,5357,Industrial
Alawannaq,876653794,0,-125.53125,36.46875,21.84375,674,15941,Agriculture
Albangage,12493155,0,82.375,25.9375,25.8125,677,7833,Industrial
Albangait,3495756,0,96.78125,-63.625,20.71875,678,19854,Industrial
Albarib,3649580638,0,96.4375,-0.65625,25.5625,681,9193,Refinery
Albast,8158830,0,-40.5625,-65.96875,-21.03125,683,3901,Industrial
Albienses,2260281,0,125.5,-107.625,88.21875,685,19802,Industrial
Alchera,129943,0,-103.5625,-139.1875,50.6875,690,4964,Colony
Alchita,9894206190,0,36.21875,29.28125,14.21875,691,6356,Industrial
Alcor,703831,0,-36,71.78125,-15.125,692,6523,Refinery
Alectrona,23157652,0,14.53125,-52.46875,2.5625,694,3763,Industrial
Aleumoxii,4705877,0,35.09375,80.28125,-73.40625,695,19540,High Tech
Aleuta,7205073,0,136.78125,63.3125,65.84375,697,5799,Industrial
Alexandrinus,67028,0,-82.9375,-13.53125,-63.8125,699,7870,Extraction
Alexis Centauri,162804,0,-41.15625,23.4375,-108.25,700,6625,Industrial
Alfheim,10610442,0,26.96875,94.9375,-22.875,701,3678,Industrial
Algieba,3770687,0,45.0625,106.78125,-59.09375,702,4758,Industrial
Algorab,12112717412,0,54.1875,62.3125,26.90625,704,1795,Agriculture
Algreit,7536013,0,-8.3125,-11.78125,53.28125,705,5527,Agriculture
Alicarl,2567544485,0,33.28125,95.375,3.03125,707,3208,Agriculture
Alici,6893163,0,-86.84375,-87.96875,56.84375,711,19728,Industrial
Alignak,22390595,0,-75.03125,54.53125,6.75,712,8494,High Tech
Alina,7638537,0,152.53125,-90.78125,-20.875,713,11041,Terraforming
Aling,6753242,0,19.25,-162.65625,38,714,18180,Industrial
